454,390
271,605
662,380
259,40
787,196
702,559
532,557
26,908
896,853
294,670
423,155
185,109
630,142
955,140
798,350
8,898
577,501
141,823
880,884
215,201
145,885
840,555
563,792
535,184
737,945
858,930
826,293
376,703
512,274
240,179
348,720
967,991
30,238
129,209
532,604
236,155
376,635
828,328
291,828
953,801
525,297
347,357
515,481
398,112
281,258
669,400
403,135
390,631
658,432
404,529
291,717
304,296
773,136
142,34
285,689
753,701
536,32
328,47
49,320
205,685
253,874
357,313
857,1000
442,24
714,972
754,484
798,861
948,578
110,80
394,563
422,408
326,81
87,97
744,551
196,391
980,590
339,249
827,698
523,959
731,492
599,317
888,263
535,181
86,478
403,974
804,766
426,504
938,369
544,441
342,302
859,77
316,272
276,476
822,532
131,997
645,293
712,62
52,983
768,332
88,570
966,893
273,454
336,435
222,602
268,941
345,611
197,520
797,525
713,449
450,78
679,587
967,422
86,432
579,451
149,390
498,810
124,373
919,841
380,75
440,256
128,994
617,463
361,56
662,298
516,526
814,900
867,839
802,138
904,830
590,107
896,929
916,642
284,862
745,472
965,458
803,241
882,351
723,131
861,954
888,167
679,412
209,833
764,581
588,534
926,807
803,557
214,165
726,244
48,677
504,950
985,409
659,472
396,225
242,201
712,313
525,715
655,36
970,985
555,144
772,506
232,813
110,666
646,661
413,491
342,610
484,595
975,606
367,946
535,850
537,633
478,745
391,866
855,629
554,143
127,834
158,543
637,640
36,244
864,698
336,622
792,422
699,204
217,64
198,726
814,615
631,65
52,410
385,707
976,996
690,368
204,821
647,755
172,487
712,954
224,603
389,294
513,505
108,526
594,93
644,226
965,21
578,70
223,469
834,826
228,652
55,630
670,124
837,826
325,623
426,919
121,419
204,963
935,56
333,843
107,917
894,583
977,331
871,904
16,368
284,23
65,403
72,370
879,742
720,771
835,330
96,450
477,265
879,815
571,363
61,142
274,740
433,917
112,982
129,716
980,332
611,936
656,515
559,328
183,217
461,261
85,71
13,27
983,732
996,805
341,76
276,618
145,525
824,200
781,562
159,535
370,139
829,192
844,966
793,469
928,778
988,405
989,446
601,7
457,954
753,861
674,303
595,233
192,86
718,344
540,290
171,269
717,626
553,875
979,334
256,325
151,937
572,733
785,386
35,130
401,74
442,407
238,250
491,172
106,424
381,273
515,75
58,928
803,986
97,517
228,882
465,738
637,730
453,561
255,406
922,166
266,797
514,618
15,63
272,540
315,538
764,419
373,867
11,517
197,180
941,423
106,995
936,702
159,330
794,199
872,299
963,901
565,515
843,593
573,698
316,610
392,919
30,250
839,872
811,297
320,138
161,12
894,357
159,872
775,737
692,23
494,369
340,469
716,742
101,583
558,129
737,628
639,874
991,812
6,992
108,995
112,556
394,669
585,653
324,223
626,919
260,520
136,528
854,474
887,796
175,713
683,664
522,951
687,222
810,780
294,510
814,330
825,514
103,297
798,840
561,320
694,466
190,379
69,953
267,685
839,138
106,93
94,499
531,773
34,561
351,83
919,199
649,901
33,595
764,373
837,550
753,226
262,202
484,154
344,883
662,595
407,698
420,824
380,654
30,90
448,47
391,956
651,313
101,880
93,52
407,28
617,473
664,364
279,847
505,653
248,173
607,530
696,691
224,592
275,271
93,678
311,803
838,960
825,473
833,970
184,881
502,423
846,599
902,178
94,569
167,938
402,11
173,565
361,270
17,602
664,649
926,798
307,697
472,426
448,947
997,227
291,334
907,775
425,903
120,533
690,51
590,192
768,768
917,148
734,584
105,279
645,845
428,620
655,660
438,269
189,308
943,335
558,887
602,822
993,568
457,282
140,73
831,507
432,117
266,80
149,232
296,373
263,738
748,510
813,839
119,228
425,722
768,664
868,457
930,663
316,682
446,634
200,23
315,620
712,190
303,36
295,595
121,355
313,149
507,453
817,167
612,339
402,688
944,599
50,33
156,139
754,675
392,734
239,848
642,629
948,273
583,897
801,359
672,546
196,100
917,297
617,849
777,594
350,144
504,242
490,95
829,559
981,349
868,518
412,798
445,795
10,896
85,109
28,97
397,8
556,858
404,946
307,894
725,100
948,431
194,460
519,35
158,247
384,695
952,275
451,19
225,719
782,550
900,799
86,707
620,915
730,639
861,999
554,429
104,344
236,156
773,745
280,216
835,545
34,34
956,378
146,470
692,414
83,103
388,185
815,910
462,980
266,910
715,407
355,650
570,965
63,26
983,997
687,634
680,872
405,693
80,652
624,51
917,147
836,254
973,942
428,325
427,530
906,30
307,390
824,184
912,988
125,159
238,605
361,240
975,863
618,472
244,689
652,426
430,407
135,466
757,170
796,403
28,132
47,504
262,731
97,435
564,73
282,406
351,886
138,541
240,261
157,430
116,151
245,251
169,879
454,350
824,454
964,104
455,894
803,750
577,830
743,963
288,804
493,997
4,349
313,795
537,944
526,521
245,752
119,594
534,484
846,338
243,912
641,736
656,306
685,702
234,796
735,349
66,826
637,429
473,709
